2021-05-05 08:43:04,655 | 17583 | asyncio, __init__, 59 | DEBUG | Using selector: KqueueSelector
2021-05-05 08:43:04,657 | 17583 | proxy.proxy, open_connection, 243 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 08:43:04,658 | 17583 | proxy.proxy, start_server, 132 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 08:43:04,658 | 17583 | proxy.proxy, start_server, 135 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 08:43:07,488 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54355) is connected
2021-05-05 08:43:07,488 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:07,488 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's0'
2021-05-05 08:43:07,489 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:08,491 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54356) is connected
2021-05-05 08:43:08,492 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:08,492 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's1'
2021-05-05 08:43:08,492 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:09,496 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54357) is connected
2021-05-05 08:43:09,496 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:09,496 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's2'
2021-05-05 08:43:09,496 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:10,497 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54358) is connected
2021-05-05 08:43:10,497 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:10,497 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's3'
2021-05-05 08:43:10,498 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:11,500 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54360) is connected
2021-05-05 08:43:11,500 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:11,500 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's4'
2021-05-05 08:43:11,501 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:12,502 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54361) is connected
2021-05-05 08:43:12,502 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:12,502 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's5'
2021-05-05 08:43:12,502 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:13,502 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54362) is connected
2021-05-05 08:43:13,502 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:13,503 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's6'
2021-05-05 08:43:13,503 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:14,503 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54363) is connected
2021-05-05 08:43:14,503 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:14,504 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's7'
2021-05-05 08:43:14,504 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:15,504 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54364) is connected
2021-05-05 08:43:15,504 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:15,504 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's8'
2021-05-05 08:43:15,505 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:16,504 | 17583 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 54365) is connected
2021-05-05 08:43:16,504 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:43:16,504 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b's9'
2021-05-05 08:43:16,504 | 17583 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 08:44:19,510 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,512 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,512 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,513 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,513 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,513 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,514 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,514 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,514 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,515 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,515 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,515 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,515 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,515 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
