2021-05-05 09:33:02,402 | 3804 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 09:33:02,403 | 3804 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:33:02,404 | 3804 | proxy.proxy, start_server, 132 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 09:33:02,404 | 3804 | proxy.proxy, start_server, 135 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 09:33:04,234 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41484) is connected
2021-05-05 09:33:04,234 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:04,235 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:04,236 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:04,236 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:05,911 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41488) is connected
2021-05-05 09:33:05,912 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:05,916 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41490) is connected
2021-05-05 09:33:05,923 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:05,935 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41492) is connected
2021-05-05 09:33:05,953 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:05,958 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00(\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:05,971 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:05,972 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00)\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:05,975 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:05,988 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00*\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:05,995 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:06,946 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:06,946 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:06,946 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:06,948 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:06,949 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:06,949 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:06,951 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:06,952 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
