2021-05-05 14:02:28,611 | 3745 | proxy.proxy, start_server, 166 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 14:02:28,611 | 3745 | proxy.proxy, start_server, 169 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 14:02:35,121 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45748) is connected
2021-05-05 14:02:35,123 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:35,124 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:35,125 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45752) is connected
2021-05-05 14:02:35,126 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:35,127 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:35,128 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45756) is connected
2021-05-05 14:02:35,130 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:35,131 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:43,635 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45762) is connected
2021-05-05 14:02:43,637 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45764) is connected
2021-05-05 14:02:43,639 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45766) is connected
2021-05-05 14:02:43,641 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:43,642 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:43,642 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:43,643 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:43,643 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:43,644 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:52,151 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45778) is connected
2021-05-05 14:02:52,152 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45780) is connected
2021-05-05 14:02:52,153 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45782) is connected
2021-05-05 14:02:52,155 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:52,155 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:52,156 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:52,156 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:02:52,157 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:02:52,157 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:03:00,663 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45792) is connected
2021-05-05 14:03:00,670 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45794) is connected
2021-05-05 14:03:00,671 | 3745 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 45796) is connected
2021-05-05 14:03:00,673 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:03:00,674 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:03:00,676 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:03:00,676 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:03:00,677 | 3745 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:03:00,682 | 3745 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
