2021-05-05 16:31:23,481 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,497 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,498 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,499 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,499 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,500 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,500 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,501 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,502 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,502 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,503 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,503 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,512 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,514 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,515 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,515 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,516 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,516 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,517 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,518 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,518 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,519 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
