2021-05-05 16:51:23,772 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,790 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,791 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,791 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,792 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,792 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,792 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,793 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,793 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,797 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,797 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,799 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,799 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,800 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,800 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,800 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,801 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,802 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,808 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,808 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,809 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,809 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,809 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,810 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,810 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,810 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,811 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,811 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,812 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,812 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,812 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,813 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,813 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,814 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,815 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,816 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,821 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
2021-05-05 16:51:23,822 | 3824 | proxy.proxy, handle_controller, 343 | DEBUG | no data from controller read
2021-05-05 16:51:23,824 | 3824 | proxy.proxy, handle_controller, 339 | DEBUG | waiting data ......
2021-05-05 16:51:23,825 | 3824 | proxy.proxy, handle_controller, 341 | DEBUG | read b''
