2021-05-05 17:25:41,939 | 2991 | api.observer, update, 35 | DEBUG | parsed message : openflow(msg=OFPUnparseableMsg(body=b'\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x0033\x00\x00\x00\x02\xf6\x8e\xa1\xf4(\x9f\x86\xdd`\x00\x00\x00\x00\x10:\xff\xfe\x80\x00\x00\x00\x00\x00\x00\xf4\x8e\xa1\xff\xfe\xf4(\x9f\xff\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x02\x85\x00\xfc\xe8\x00\x00\x00\x00\x01\x01\xf6\x8e\xa1\xf4(\x9f',buf=None,datapath=<ryu.ofproto.ofproto_protocol.ProtocolDesc object at 0x7f9314bd8070>,msg_len=110,msg_type=13,version=4,xid=521494498))
2021-05-05 17:25:41,952 | 2991 | api.observer, update, 36 | DEBUG | parsed message to json dict : {'openflow': {'msg': {'OFPUnparseableMsg': {'body': '/////wAAAAEAEAAAAAAAAAAAABD////7/+UAAAAAAAAzMwAAAAL2jqH0KJ+G3WAAAAAAEDr//oAAAAAAAAD0jqH//vQon/8CAAAAAAAAAAAAAAAAAAKFAPzoAAAAAAEB9o6h9Cif', 'buf': None, 'datapath': <ryu.ofproto.ofproto_protocol.ProtocolDesc object at 0x7f9314bd8070>, 'msg_len': 110, 'msg_type': 13, 'version': 4, 'xid': 521494498}}}}
2021-05-05 17:25:46,858 | 2991 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,858 | 2991 | proxy.proxy, send_to_controller, 377 | DEBUG | sent data to controller: b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,859 | 2991 | proxy.proxy, send_to_controller, 69 | DEBUG | set data and sent to controller : b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,859 | 2991 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:25:46,860 | 2991 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,860 | 2991 | api.observer, update, 32 | DEBUG | observed from observable: b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,861 | 2991 | api.observer, update, 35 | DEBUG | parsed message : openflow(msg=OFPEchoRequest(data=b''))
2021-05-05 17:25:46,862 | 2991 | api.observer, update, 36 | DEBUG | parsed message to json dict : {'openflow': {'msg': {'OFPEchoRequest': {'data': ''}}}}
2021-05-05 17:25:46,863 | 2991 | proxy.proxy, handle_controller, 343 | DEBUG | read b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,863 | 2991 | proxy.proxy, send_to_switch, 272 | DEBUG | sent data to switch: b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,864 | 2991 | proxy.proxy, send_to_switch, 87 | DEBUG | set data and sent to switch : b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,864 | 2991 | proxy.proxy, handle_controller, 341 | DEBUG | waiting data ......
2021-05-05 17:25:46,865 | 2991 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,865 | 2991 | api.observer, update, 32 | DEBUG | observed from observable: b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,866 | 2991 | api.observer, update, 35 | DEBUG | parsed message : openflow(msg=OFPEchoReply(data=b''))
2021-05-05 17:25:46,867 | 2991 | api.observer, update, 36 | DEBUG | parsed message to json dict : {'openflow': {'msg': {'OFPEchoReply': {'data': ''}}}}
2021-05-05 17:25:46,886 | 2991 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,888 | 2991 | proxy.proxy, send_to_controller, 377 | DEBUG | sent data to controller: b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,888 | 2991 | proxy.proxy, send_to_controller, 69 | DEBUG | set data and sent to controller : b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,893 | 2991 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:25:46,894 | 2991 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,897 | 2991 | api.observer, update, 32 | DEBUG | observed from observable: b'\x04\x02\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,909 | 2991 | api.observer, update, 35 | DEBUG | parsed message : openflow(msg=OFPEchoRequest(data=b''))
2021-05-05 17:25:46,965 | 2991 | api.observer, update, 36 | DEBUG | parsed message to json dict : {'openflow': {'msg': {'OFPEchoRequest': {'data': ''}}}}
2021-05-05 17:25:46,966 | 2991 | proxy.proxy, handle_controller, 343 | DEBUG | read b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,967 | 2991 | proxy.proxy, send_to_switch, 272 | DEBUG | sent data to switch: b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,968 | 2991 | proxy.proxy, send_to_switch, 87 | DEBUG | set data and sent to switch : b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,968 | 2991 | proxy.proxy, handle_controller, 341 | DEBUG | waiting data ......
2021-05-05 17:25:46,969 | 2991 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\x03\x00\x08\x00\x00\x00\x00'
2021-05-05 17:25:46,970 | 2991 | api.observer, update, 32 | DEBUG | observed from observable: b'\x04\x03\x00\x08\x00\x00\x00\x00'
